Control ID,Control Name,Technique ID,Technique Name,CIS Control,CIS Sub-Control,Title,Control Identifier,Control or Control Enhancement Name
AC-6,Least Privilege,T1136,Create Account,3.0,3.3,Configure Data Access Control Lists,AC-6,Least Privilege
AC-6,Least Privilege,T1136,Create Account,6.0,6.8,Define and Maintain Role-Based Access Control,AC-6,Least Privilege
AC-6,Least Privilege,T1136.001,Local Account,3.0,3.3,Configure Data Access Control Lists,AC-6,Least Privilege
AC-6,Least Privilege,T1136.001,Local Account,6.0,6.8,Define and Maintain Role-Based Access Control,AC-6,Least Privilege
AC-6,Least Privilege,T1136.002,Domain Account,3.0,3.3,Configure Data Access Control Lists,AC-6,Least Privilege
AC-6,Least Privilege,T1136.002,Domain Account,6.0,6.8,Define and Maintain Role-Based Access Control,AC-6,Least Privilege
AC-6,Least Privilege,T1136.003,Cloud Account,3.0,3.3,Configure Data Access Control Lists,AC-6,Least Privilege
AC-6,Least Privilege,T1136.003,Cloud Account,6.0,6.8,Define and Maintain Role-Based Access Control,AC-6,Least Privilege
AC-6,Least Privilege,T1137,Office Application Startup,3.0,3.3,Configure Data Access Control Lists,AC-6,Least Privilege
AC-6,Least Privilege,T1137,Office Application Startup,6.0,6.8,Define and Maintain Role-Based Access Control,AC-6,Least Privilege
AC-6,Least Privilege,T1137.001,Office Template Macros,3.0,3.3,Configure Data Access Control Lists,AC-6,Least Privilege
AC-6,Least Privilege,T1137.001,Office Template Macros,6.0,6.8,Define and Maintain Role-Based Access Control,AC-6,Least Privilege
AC-6,Least Privilege,T1137.002,Office Test,3.0,3.3,Configure Data Access Control Lists,AC-6,Least Privilege
AC-6,Least Privilege,T1137.002,Office Test,6.0,6.8,Define and Maintain Role-Based Access Control,AC-6,Least Privilege
AC-6,Least Privilege,T1137.003,Outlook Forms,3.0,3.3,Configure Data Access Control Lists,AC-6,Least Privilege
AC-6,Least Privilege,T1137.003,Outlook Forms,6.0,6.8,Define and Maintain Role-Based Access Control,AC-6,Least Privilege
AC-6,Least Privilege,T1137.004,Outlook Home Page,3.0,3.3,Configure Data Access Control Lists,AC-6,Least Privilege
AC-6,Least Privilege,T1137.004,Outlook Home Page,6.0,6.8,Define and Maintain Role-Based Access Control,AC-6,Least Privilege
AC-6,Least Privilege,T1137.005,Outlook Rules,3.0,3.3,Configure Data Access Control Lists,AC-6,Least Privilege
AC-6,Least Privilege,T1137.005,Outlook Rules,6.0,6.8,Define and Maintain Role-Based Access Control,AC-6,Least Privilege
AC-6,Least Privilege,T1137.006,Add-ins,3.0,3.3,Configure Data Access Control Lists,AC-6,Least Privilege
AC-6,Least Privilege,T1137.006,Add-ins,6.0,6.8,Define and Maintain Role-Based Access Control,AC-6,Least Privilege
AC-6,Least Privilege,T1185,Browser Session Hijacking,3.0,3.3,Configure Data Access Control Lists,AC-6,Least Privilege
AC-6,Least Privilege,T1185,Browser Session Hijacking,6.0,6.8,Define and Maintain Role-Based Access Control,AC-6,Least Privilege
AC-6,Least Privilege,T1213,Data from Information Repositories,3.0,3.3,Configure Data Access Control Lists,AC-6,Least Privilege
AC-6,Least Privilege,T1213,Data from Information Repositories,6.0,6.8,Define and Maintain Role-Based Access Control,AC-6,Least Privilege
AC-6,Least Privilege,T1213.001,Confluence,3.0,3.3,Configure Data Access Control Lists,AC-6,Least Privilege
AC-6,Least Privilege,T1213.001,Confluence,6.0,6.8,Define and Maintain Role-Based Access Control,AC-6,Least Privilege
AC-6,Least Privilege,T1213.002,Sharepoint,3.0,3.3,Configure Data Access Control Lists,AC-6,Least Privilege
AC-6,Least Privilege,T1213.002,Sharepoint,6.0,6.8,Define and Maintain Role-Based Access Control,AC-6,Least Privilege
AC-6,Least Privilege,T1222.001,Windows File and Directory Permissions Modification,3.0,3.3,Configure Data Access Control Lists,AC-6,Least Privilege
AC-6,Least Privilege,T1222.001,Windows File and Directory Permissions Modification,6.0,6.8,Define and Maintain Role-Based Access Control,AC-6,Least Privilege
AC-6,Least Privilege,T1222.002,Linux and Mac File and Directory Permissions Modification,3.0,3.3,Configure Data Access Control Lists,AC-6,Least Privilege
AC-6,Least Privilege,T1222.002,Linux and Mac File and Directory Permissions Modification,6.0,6.8,Define and Maintain Role-Based Access Control,AC-6,Least Privilege
AC-6,Least Privilege,T1484,Domain Policy Modification,3.0,3.3,Configure Data Access Control Lists,AC-6,Least Privilege
AC-6,Least Privilege,T1484,Domain Policy Modification,6.0,6.8,Define and Maintain Role-Based Access Control,AC-6,Least Privilege
AC-6,Least Privilege,T1485,Data Destruction,3.0,3.3,Configure Data Access Control Lists,AC-6,Least Privilege
AC-6,Least Privilege,T1485,Data Destruction,6.0,6.8,Define and Maintain Role-Based Access Control,AC-6,Least Privilege
AC-6,Least Privilege,T1489,Service Stop,3.0,3.3,Configure Data Access Control Lists,AC-6,Least Privilege
AC-6,Least Privilege,T1489,Service Stop,6.0,6.8,Define and Maintain Role-Based Access Control,AC-6,Least Privilege
AC-6,Least Privilege,T1505.002,Transport Agent,3.0,3.3,Configure Data Access Control Lists,AC-6,Least Privilege
AC-6,Least Privilege,T1505.002,Transport Agent,6.0,6.8,Define and Maintain Role-Based Access Control,AC-6,Least Privilege
AC-6,Least Privilege,T1505.004,IIS Components,3.0,3.3,Configure Data Access Control Lists,AC-6,Least Privilege
AC-6,Least Privilege,T1505.004,IIS Components,6.0,6.8,Define and Maintain Role-Based Access Control,AC-6,Least Privilege
AC-6,Least Privilege,T1538,Cloud Service Dashboard,3.0,3.3,Configure Data Access Control Lists,AC-6,Least Privilege
AC-6,Least Privilege,T1538,Cloud Service Dashboard,6.0,6.8,Define and Maintain Role-Based Access Control,AC-6,Least Privilege
AC-6,Least Privilege,T1539,Steal Web Session Cookie,3.0,3.3,Configure Data Access Control Lists,AC-6,Least Privilege
AC-6,Least Privilege,T1539,Steal Web Session Cookie,6.0,6.8,Define and Maintain Role-Based Access Control,AC-6,Least Privilege
AC-6,Least Privilege,T1542,Pre-OS Boot,3.0,3.3,Configure Data Access Control Lists,AC-6,Least Privilege
AC-6,Least Privilege,T1542,Pre-OS Boot,6.0,6.8,Define and Maintain Role-Based Access Control,AC-6,Least Privilege
AC-6,Least Privilege,T1542.001,System Firmware,3.0,3.3,Configure Data Access Control Lists,AC-6,Least Privilege
AC-6,Least Privilege,T1542.001,System Firmware,6.0,6.8,Define and Maintain Role-Based Access Control,AC-6,Least Privilege
AC-6,Least Privilege,T1542.003,Bootkit,3.0,3.3,Configure Data Access Control Lists,AC-6,Least Privilege
AC-6,Least Privilege,T1542.003,Bootkit,6.0,6.8,Define and Maintain Role-Based Access Control,AC-6,Least Privilege
AC-6,Least Privilege,T1542.004,ROMMONkit,3.0,3.3,Configure Data Access Control Lists,AC-6,Least Privilege
AC-6,Least Privilege,T1542.004,ROMMONkit,6.0,6.8,Define and Maintain Role-Based Access Control,AC-6,Least Privilege
AC-6,Least Privilege,T1542.005,TFTP Boot,3.0,3.3,Configure Data Access Control Lists,AC-6,Least Privilege
AC-6,Least Privilege,T1542.005,TFTP Boot,6.0,6.8,Define and Maintain Role-Based Access Control,AC-6,Least Privilege
AC-6,Least Privilege,T1543.002,Systemd Service,3.0,3.3,Configure Data Access Control Lists,AC-6,Least Privilege
AC-6,Least Privilege,T1543.002,Systemd Service,6.0,6.8,Define and Maintain Role-Based Access Control,AC-6,Least Privilege
AC-6,Least Privilege,T1543.004,Launch Daemon,3.0,3.3,Configure Data Access Control Lists,AC-6,Least Privilege
AC-6,Least Privilege,T1543.004,Launch Daemon,6.0,6.8,Define and Maintain Role-Based Access Control,AC-6,Least Privilege
AC-6,Least Privilege,T1546.004,Unix Shell Configuration Modification,3.0,3.3,Configure Data Access Control Lists,AC-6,Least Privilege
AC-6,Least Privilege,T1546.004,Unix Shell Configuration Modification,6.0,6.8,Define and Maintain Role-Based Access Control,AC-6,Least Privilege
AC-6,Least Privilege,T1546.011,Application Shimming,3.0,3.3,Configure Data Access Control Lists,AC-6,Least Privilege
AC-6,Least Privilege,T1546.011,Application Shimming,6.0,6.8,Define and Maintain Role-Based Access Control,AC-6,Least Privilege
AC-6,Least Privilege,T1546.013,PowerShell Profile,3.0,3.3,Configure Data Access Control Lists,AC-6,Least Privilege
AC-6,Least Privilege,T1546.013,PowerShell Profile,6.0,6.8,Define and Maintain Role-Based Access Control,AC-6,Least Privilege
AC-6,Least Privilege,T1547.012,Print Processors,3.0,3.3,Configure Data Access Control Lists,AC-6,Least Privilege
AC-6,Least Privilege,T1547.012,Print Processors,6.0,6.8,Define and Maintain Role-Based Access Control,AC-6,Least Privilege
AC-6,Least Privilege,T1547.013,XDG Autostart Entries,3.0,3.3,Configure Data Access Control Lists,AC-6,Least Privilege
AC-6,Least Privilege,T1547.013,XDG Autostart Entries,6.0,6.8,Define and Maintain Role-Based Access Control,AC-6,Least Privilege
AC-6,Least Privilege,T1548,Abuse Elevation Control Mechanism,3.0,3.3,Configure Data Access Control Lists,AC-6,Least Privilege
AC-6,Least Privilege,T1548,Abuse Elevation Control Mechanism,6.0,6.8,Define and Maintain Role-Based Access Control,AC-6,Least Privilege
AC-6,Least Privilege,T1550,Use Alternate Authentication Material,3.0,3.3,Configure Data Access Control Lists,AC-6,Least Privilege
AC-6,Least Privilege,T1550,Use Alternate Authentication Material,6.0,6.8,Define and Maintain Role-Based Access Control,AC-6,Least Privilege
AC-6,Least Privilege,T1550.002,Pass the Hash,3.0,3.3,Configure Data Access Control Lists,AC-6,Least Privilege
AC-6,Least Privilege,T1550.002,Pass the Hash,6.0,6.8,Define and Maintain Role-Based Access Control,AC-6,Least Privilege
AC-6,Least Privilege,T1550.003,Pass the Ticket,3.0,3.3,Configure Data Access Control Lists,AC-6,Least Privilege
AC-6,Least Privilege,T1550.003,Pass the Ticket,6.0,6.8,Define and Maintain Role-Based Access Control,AC-6,Least Privilege
AC-6,Least Privilege,T1552,Unsecured Credentials,3.0,3.3,Configure Data Access Control Lists,AC-6,Least Privilege
AC-6,Least Privilege,T1552,Unsecured Credentials,6.0,6.8,Define and Maintain Role-Based Access Control,AC-6,Least Privilege
AC-6,Least Privilege,T1552.001,Credentials In Files,3.0,3.3,Configure Data Access Control Lists,AC-6,Least Privilege
AC-6,Least Privilege,T1552.001,Credentials In Files,6.0,6.8,Define and Maintain Role-Based Access Control,AC-6,Least Privilege
AC-6,Least Privilege,T1552.002,Credentials in Registry,3.0,3.3,Configure Data Access Control Lists,AC-6,Least Privilege
AC-6,Least Privilege,T1552.002,Credentials in Registry,6.0,6.8,Define and Maintain Role-Based Access Control,AC-6,Least Privilege
AC-6,Least Privilege,T1552.006,Group Policy Preferences,3.0,3.3,Configure Data Access Control Lists,AC-6,Least Privilege
AC-6,Least Privilege,T1552.006,Group Policy Preferences,6.0,6.8,Define and Maintain Role-Based Access Control,AC-6,Least Privilege
AC-6,Least Privilege,T1553,Subvert Trust Controls,3.0,3.3,Configure Data Access Control Lists,AC-6,Least Privilege
AC-6,Least Privilege,T1553,Subvert Trust Controls,6.0,6.8,Define and Maintain Role-Based Access Control,AC-6,Least Privilege
AC-6,Least Privilege,T1553.003,SIP and Trust Provider Hijacking,3.0,3.3,Configure Data Access Control Lists,AC-6,Least Privilege
AC-6,Least Privilege,T1553.003,SIP and Trust Provider Hijacking,6.0,6.8,Define and Maintain Role-Based Access Control,AC-6,Least Privilege
AC-6,Least Privilege,T1553.006,Code Signing Policy Modification,3.0,3.3,Configure Data Access Control Lists,AC-6,Least Privilege
AC-6,Least Privilege,T1553.006,Code Signing Policy Modification,6.0,6.8,Define and Maintain Role-Based Access Control,AC-6,Least Privilege
AC-6,Least Privilege,T1556.001,Domain Controller Authentication,3.0,3.3,Configure Data Access Control Lists,AC-6,Least Privilege
AC-6,Least Privilege,T1556.001,Domain Controller Authentication,6.0,6.8,Define and Maintain Role-Based Access Control,AC-6,Least Privilege
AC-6,Least Privilege,T1556.003,Pluggable Authentication Modules,3.0,3.3,Configure Data Access Control Lists,AC-6,Least Privilege
AC-6,Least Privilege,T1556.003,Pluggable Authentication Modules,6.0,6.8,Define and Maintain Role-Based Access Control,AC-6,Least Privilege
AC-6,Least Privilege,T1558.001,Golden Ticket,3.0,3.3,Configure Data Access Control Lists,AC-6,Least Privilege
AC-6,Least Privilege,T1558.001,Golden Ticket,6.0,6.8,Define and Maintain Role-Based Access Control,AC-6,Least Privilege
AC-6,Least Privilege,T1558.002,Silver Ticket,3.0,3.3,Configure Data Access Control Lists,AC-6,Least Privilege
AC-6,Least Privilege,T1558.002,Silver Ticket,6.0,6.8,Define and Maintain Role-Based Access Control,AC-6,Least Privilege
AC-6,Least Privilege,T1559.001,Component Object Model,3.0,3.3,Configure Data Access Control Lists,AC-6,Least Privilege
AC-6,Least Privilege,T1559.001,Component Object Model,6.0,6.8,Define and Maintain Role-Based Access Control,AC-6,Least Privilege
AC-6,Least Privilege,T1561,Disk Wipe,3.0,3.3,Configure Data Access Control Lists,AC-6,Least Privilege
AC-6,Least Privilege,T1561,Disk Wipe,6.0,6.8,Define and Maintain Role-Based Access Control,AC-6,Least Privilege
AC-6,Least Privilege,T1561.001,Disk Content Wipe,3.0,3.3,Configure Data Access Control Lists,AC-6,Least Privilege
AC-6,Least Privilege,T1561.001,Disk Content Wipe,6.0,6.8,Define and Maintain Role-Based Access Control,AC-6,Least Privilege
AC-6,Least Privilege,T1561.002,Disk Structure Wipe,3.0,3.3,Configure Data Access Control Lists,AC-6,Least Privilege
AC-6,Least Privilege,T1561.002,Disk Structure Wipe,6.0,6.8,Define and Maintain Role-Based Access Control,AC-6,Least Privilege
AC-6,Least Privilege,T1562.002,Disable Windows Event Logging,3.0,3.3,Configure Data Access Control Lists,AC-6,Least Privilege
AC-6,Least Privilege,T1562.002,Disable Windows Event Logging,6.0,6.8,Define and Maintain Role-Based Access Control,AC-6,Least Privilege
AC-6,Least Privilege,T1562.004,Disable or Modify System Firewall,3.0,3.3,Configure Data Access Control Lists,AC-6,Least Privilege
AC-6,Least Privilege,T1562.004,Disable or Modify System Firewall,6.0,6.8,Define and Maintain Role-Based Access Control,AC-6,Least Privilege
AC-6,Least Privilege,T1562.007,Disable or Modify Cloud Firewall,3.0,3.3,Configure Data Access Control Lists,AC-6,Least Privilege
AC-6,Least Privilege,T1562.007,Disable or Modify Cloud Firewall,6.0,6.8,Define and Maintain Role-Based Access Control,AC-6,Least Privilege
AC-6,Least Privilege,T1562.009,Safe Mode Boot,3.0,3.3,Configure Data Access Control Lists,AC-6,Least Privilege
AC-6,Least Privilege,T1562.009,Safe Mode Boot,6.0,6.8,Define and Maintain Role-Based Access Control,AC-6,Least Privilege
AC-6,Least Privilege,T1563,Remote Service Session Hijacking,3.0,3.3,Configure Data Access Control Lists,AC-6,Least Privilege
AC-6,Least Privilege,T1563,Remote Service Session Hijacking,6.0,6.8,Define and Maintain Role-Based Access Control,AC-6,Least Privilege
AC-6,Least Privilege,T1563.001,SSH Hijacking,3.0,3.3,Configure Data Access Control Lists,AC-6,Least Privilege
AC-6,Least Privilege,T1563.001,SSH Hijacking,6.0,6.8,Define and Maintain Role-Based Access Control,AC-6,Least Privilege
AC-6,Least Privilege,T1563.002,RDP Hijacking,3.0,3.3,Configure Data Access Control Lists,AC-6,Least Privilege
AC-6,Least Privilege,T1563.002,RDP Hijacking,6.0,6.8,Define and Maintain Role-Based Access Control,AC-6,Least Privilege
AC-6,Least Privilege,T1569,System Services,3.0,3.3,Configure Data Access Control Lists,AC-6,Least Privilege
AC-6,Least Privilege,T1569,System Services,6.0,6.8,Define and Maintain Role-Based Access Control,AC-6,Least Privilege
AC-6,Least Privilege,T1569.001,Launchctl,3.0,3.3,Configure Data Access Control Lists,AC-6,Least Privilege
AC-6,Least Privilege,T1569.001,Launchctl,6.0,6.8,Define and Maintain Role-Based Access Control,AC-6,Least Privilege
AC-6,Least Privilege,T1569.002,Service Execution,3.0,3.3,Configure Data Access Control Lists,AC-6,Least Privilege
AC-6,Least Privilege,T1569.002,Service Execution,6.0,6.8,Define and Maintain Role-Based Access Control,AC-6,Least Privilege
AC-6,Least Privilege,T1574.004,Dylib Hijacking,3.0,3.3,Configure Data Access Control Lists,AC-6,Least Privilege
AC-6,Least Privilege,T1574.004,Dylib Hijacking,6.0,6.8,Define and Maintain Role-Based Access Control,AC-6,Least Privilege
AC-6,Least Privilege,T1574.005,Executable Installer File Permissions Weakness,3.0,3.3,Configure Data Access Control Lists,AC-6,Least Privilege
AC-6,Least Privilege,T1574.005,Executable Installer File Permissions Weakness,6.0,6.8,Define and Maintain Role-Based Access Control,AC-6,Least Privilege
AC-6,Least Privilege,T1574.008,Path Interception by Search Order Hijacking,3.0,3.3,Configure Data Access Control Lists,AC-6,Least Privilege
AC-6,Least Privilege,T1574.008,Path Interception by Search Order Hijacking,6.0,6.8,Define and Maintain Role-Based Access Control,AC-6,Least Privilege
AC-6,Least Privilege,T1574.009,Path Interception by Unquoted Path,3.0,3.3,Configure Data Access Control Lists,AC-6,Least Privilege
AC-6,Least Privilege,T1574.009,Path Interception by Unquoted Path,6.0,6.8,Define and Maintain Role-Based Access Control,AC-6,Least Privilege
AC-6,Least Privilege,T1574.010,Services File Permissions Weakness,3.0,3.3,Configure Data Access Control Lists,AC-6,Least Privilege
AC-6,Least Privilege,T1574.010,Services File Permissions Weakness,6.0,6.8,Define and Maintain Role-Based Access Control,AC-6,Least Privilege
AC-6,Least Privilege,T1574.012,COR_PROFILER,3.0,3.3,Configure Data Access Control Lists,AC-6,Least Privilege
AC-6,Least Privilege,T1574.012,COR_PROFILER,6.0,6.8,Define and Maintain Role-Based Access Control,AC-6,Least Privilege
AC-6,Least Privilege,T1578,Modify Cloud Compute Infrastructure,3.0,3.3,Configure Data Access Control Lists,AC-6,Least Privilege
AC-6,Least Privilege,T1578,Modify Cloud Compute Infrastructure,6.0,6.8,Define and Maintain Role-Based Access Control,AC-6,Least Privilege
AC-6,Least Privilege,T1578.001,Create Snapshot,3.0,3.3,Configure Data Access Control Lists,AC-6,Least Privilege
AC-6,Least Privilege,T1578.001,Create Snapshot,6.0,6.8,Define and Maintain Role-Based Access Control,AC-6,Least Privilege
AC-6,Least Privilege,T1578.002,Create Cloud Instance,3.0,3.3,Configure Data Access Control Lists,AC-6,Least Privilege
AC-6,Least Privilege,T1578.002,Create Cloud Instance,6.0,6.8,Define and Maintain Role-Based Access Control,AC-6,Least Privilege
AC-6,Least Privilege,T1578.003,Delete Cloud Instance,3.0,3.3,Configure Data Access Control Lists,AC-6,Least Privilege
AC-6,Least Privilege,T1578.003,Delete Cloud Instance,6.0,6.8,Define and Maintain Role-Based Access Control,AC-6,Least Privilege
AC-6,Least Privilege,T1599.001,Network Address Translation Traversal,3.0,3.3,Configure Data Access Control Lists,AC-6,Least Privilege
AC-6,Least Privilege,T1599.001,Network Address Translation Traversal,6.0,6.8,Define and Maintain Role-Based Access Control,AC-6,Least Privilege
AC-6,Least Privilege,T1601,Modify System Image,3.0,3.3,Configure Data Access Control Lists,AC-6,Least Privilege
AC-6,Least Privilege,T1601,Modify System Image,6.0,6.8,Define and Maintain Role-Based Access Control,AC-6,Least Privilege
AC-6,Least Privilege,T1601.001,Patch System Image,3.0,3.3,Configure Data Access Control Lists,AC-6,Least Privilege
AC-6,Least Privilege,T1601.001,Patch System Image,6.0,6.8,Define and Maintain Role-Based Access Control,AC-6,Least Privilege
AC-6,Least Privilege,T1601.002,Downgrade System Image,3.0,3.3,Configure Data Access Control Lists,AC-6,Least Privilege
AC-6,Least Privilege,T1601.002,Downgrade System Image,6.0,6.8,Define and Maintain Role-Based Access Control,AC-6,Least Privilege
AC-6,Least Privilege,T1606,Forge Web Credentials,3.0,3.3,Configure Data Access Control Lists,AC-6,Least Privilege
AC-6,Least Privilege,T1606,Forge Web Credentials,6.0,6.8,Define and Maintain Role-Based Access Control,AC-6,Least Privilege
AC-6,Least Privilege,T1606.001,Web Cookies,3.0,3.3,Configure Data Access Control Lists,AC-6,Least Privilege
AC-6,Least Privilege,T1606.001,Web Cookies,6.0,6.8,Define and Maintain Role-Based Access Control,AC-6,Least Privilege
AC-6,Least Privilege,T1606.002,SAML Tokens,3.0,3.3,Configure Data Access Control Lists,AC-6,Least Privilege
AC-6,Least Privilege,T1606.002,SAML Tokens,6.0,6.8,Define and Maintain Role-Based Access Control,AC-6,Least Privilege
AC-6,Least Privilege,T1612,Build Image on Host,3.0,3.3,Configure Data Access Control Lists,AC-6,Least Privilege
AC-6,Least Privilege,T1612,Build Image on Host,6.0,6.8,Define and Maintain Role-Based Access Control,AC-6,Least Privilege
AC-6,Least Privilege,T1613,Container and Resource Discovery,3.0,3.3,Configure Data Access Control Lists,AC-6,Least Privilege
AC-6,Least Privilege,T1613,Container and Resource Discovery,6.0,6.8,Define and Maintain Role-Based Access Control,AC-6,Least Privilege
AC-6,Least Privilege,T1619,Cloud Storage Object Discovery,3.0,3.3,Configure Data Access Control Lists,AC-6,Least Privilege
AC-6,Least Privilege,T1619,Cloud Storage Object Discovery,6.0,6.8,Define and Maintain Role-Based Access Control,AC-6,Least Privilege
AC-7,Unsuccessful Logon Attempts,T1556,Modify Authentication Process,4.0,4.1,Enforce Automatic Device Lockout on Portable End-User Devices,AC-7,Unsuccessful Logon Attempts
AC-7,Unsuccessful Logon Attempts,T1133,External Remote Services,4.0,4.1,Enforce Automatic Device Lockout on Portable End-User Devices,AC-7,Unsuccessful Logon Attempts
AC-7,Unsuccessful Logon Attempts,T1110.001,Password Guessing,4.0,4.1,Enforce Automatic Device Lockout on Portable End-User Devices,AC-7,Unsuccessful Logon Attempts
AC-7,Unsuccessful Logon Attempts,T1110.002,Password Cracking,4.0,4.1,Enforce Automatic Device Lockout on Portable End-User Devices,AC-7,Unsuccessful Logon Attempts
AC-7,Unsuccessful Logon Attempts,T1530,Data from Cloud Storage Object,4.0,4.1,Enforce Automatic Device Lockout on Portable End-User Devices,AC-7,Unsuccessful Logon Attempts
AC-7,Unsuccessful Logon Attempts,T1021.001,Remote Desktop Protocol,4.0,4.1,Enforce Automatic Device Lockout on Portable End-User Devices,AC-7,Unsuccessful Logon Attempts
AC-7,Unsuccessful Logon Attempts,T1078.002,Domain Accounts,4.0,4.1,Enforce Automatic Device Lockout on Portable End-User Devices,AC-7,Unsuccessful Logon Attempts
AC-7,Unsuccessful Logon Attempts,T1078.004,Cloud Accounts,4.0,4.1,Enforce Automatic Device Lockout on Portable End-User Devices,AC-7,Unsuccessful Logon Attempts
AC-7,Unsuccessful Logon Attempts,T1556.004,Network Device Authentication,4.0,4.1,Enforce Automatic Device Lockout on Portable End-User Devices,AC-7,Unsuccessful Logon Attempts
AC-7,Unsuccessful Logon Attempts,T1021,Remote Services,4.0,4.1,Enforce Automatic Device Lockout on Portable End-User Devices,AC-7,Unsuccessful Logon Attempts
AC-7,Unsuccessful Logon Attempts,T1021.004,SSH,4.0,4.1,Enforce Automatic Device Lockout on Portable End-User Devices,AC-7,Unsuccessful Logon Attempts
AC-7,Unsuccessful Logon Attempts,T1110,Brute Force,4.0,4.1,Enforce Automatic Device Lockout on Portable End-User Devices,AC-7,Unsuccessful Logon Attempts
AC-7,Unsuccessful Logon Attempts,T1110.003,Password Spraying,4.0,4.1,Enforce Automatic Device Lockout on Portable End-User Devices,AC-7,Unsuccessful Logon Attempts
AC-7,Unsuccessful Logon Attempts,T1110.004,Credential Stuffing,4.0,4.1,Enforce Automatic Device Lockout on Portable End-User Devices,AC-7,Unsuccessful Logon Attempts
AC-7,Unsuccessful Logon Attempts,T1556.001,Domain Controller Authentication,4.0,4.1,Enforce Automatic Device Lockout on Portable End-User Devices,AC-7,Unsuccessful Logon Attempts
AC-7,Unsuccessful Logon Attempts,T1556.003,Pluggable Authentication Modules,4.0,4.1,Enforce Automatic Device Lockout on Portable End-User Devices,AC-7,Unsuccessful Logon Attempts
AU-1,Policy and Procedures,T1556.006,Multi-Factor Authentication,8.0,8.1,Establish and Maintain an Audit Log Management Process,AU-1,Policy and Procedures
AU-1,Policy and Procedures,T1556.007,Hybrid Identity,8.0,8.1,Establish and Maintain an Audit Log Management Process,AU-1,Policy and Procedures
AU-2,Event Logging,T1556.006,Multi-Factor Authentication,3.0,3.14,Log Sensitive Data Access,AU-2,Event Logging
AU-2,Event Logging,T1556.006,Multi-Factor Authentication,8.0,8.1,Establish and Maintain an Audit Log Management Process,AU-2,Event Logging
AU-2,Event Logging,T1556.006,Multi-Factor Authentication,8.0,8.2,Collect Audit Logs,AU-2,Event Logging
AU-2,Event Logging,T1556.006,Multi-Factor Authentication,8.0,8.6,Collect DNS Query Audit Logs,AU-2,Event Logging
AU-2,Event Logging,T1556.006,Multi-Factor Authentication,8.0,8.7,Collect URL Request Audit Logs,AU-2,Event Logging
AU-2,Event Logging,T1556.006,Multi-Factor Authentication,8.0,8.8,Collect Command-Line Audit Logs,AU-2,Event Logging
AU-2,Event Logging,T1556.006,Multi-Factor Authentication,8.0,8.12,Collect Service Provider Logs,AU-2,Event Logging
AU-2,Event Logging,T1556.007,Hybrid Identity,3.0,3.14,Log Sensitive Data Access,AU-2,Event Logging
AU-2,Event Logging,T1556.007,Hybrid Identity,8.0,8.1,Establish and Maintain an Audit Log Management Process,AU-2,Event Logging
AU-2,Event Logging,T1556.007,Hybrid Identity,8.0,8.2,Collect Audit Logs,AU-2,Event Logging
AU-2,Event Logging,T1556.007,Hybrid Identity,8.0,8.6,Collect DNS Query Audit Logs,AU-2,Event Logging
AU-2,Event Logging,T1556.007,Hybrid Identity,8.0,8.7,Collect URL Request Audit Logs,AU-2,Event Logging
AU-2,Event Logging,T1556.007,Hybrid Identity,8.0,8.8,Collect Command-Line Audit Logs,AU-2,Event Logging
AU-2,Event Logging,T1556.007,Hybrid Identity,8.0,8.12,Collect Service Provider Logs,AU-2,Event Logging
AU-6,"Audit Review, Analysis, & Reporting",T1593.003,Code Repositories,8.0,8.11,Conduct Audit Log Reviews,AU-6,"Audit Record Review, Analysis, and Reporting"
CA-7,Continuous Monitoring,T1070.007,Clear Network Connection History and Configurations,3.0,3.13,Deploy a Data Loss Prevention Solution,CA-7,Continuous Monitoring
CA-7,Continuous Monitoring,T1070.008,Clear Mailbox Data,3.0,3.13,Deploy a Data Loss Prevention Solution,CA-7,Continuous Monitoring
CA-7,Continuous Monitoring,T1070.009,Clear Persistence,3.0,3.13,Deploy a Data Loss Prevention Solution,CA-7,Continuous Monitoring
CA-7,Continuous Monitoring,T1546.016,Installer Packages,3.0,3.13,Deploy a Data Loss Prevention Solution,CA-7,Continuous Monitoring
CA-7,Continuous Monitoring,T1564.010,Process Argument Spoofing,3.0,3.13,Deploy a Data Loss Prevention Solution,CA-7,Continuous Monitoring
CA-7,Continuous Monitoring,T1574.013,KernelCallbackTable,3.0,3.13,Deploy a Data Loss Prevention Solution,CA-7,Continuous Monitoring
CA-7,Continuous Monitoring,T1557.003,DHCP Spoofing,3.0,3.13,Deploy a Data Loss Prevention Solution,CA-7,Continuous Monitoring
CA-7,Continuous Monitoring,T1622,Debugger Evasion,3.0,3.13,Deploy a Data Loss Prevention Solution,CA-7,Continuous Monitoring
CA-7,Continuous Monitoring,T1647,Plist File Modification,3.0,3.13,Deploy a Data Loss Prevention Solution,CA-7,Continuous Monitoring
CA-7,Continuous Monitoring,T1556,Modify Authentication Process,3.0,3.13,Deploy a Data Loss Prevention Solution,CA-7,Continuous Monitoring
CA-7,Continuous Monitoring,T1562,Impair Defenses,3.0,3.13,Deploy a Data Loss Prevention Solution,CA-7,Continuous Monitoring
CA-7,Continuous Monitoring,T1574,Hijack Execution Flow,3.0,3.13,Deploy a Data Loss Prevention Solution,CA-7,Continuous Monitoring
